City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Caravelas,BR,71.13,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
486,Dafeng,CN,67.64,light rain,23.4517,108.5881,Shenglong Hotel
488,Santa Vitoria,BR,75.83,clear sky,-18.8386,-50.1214,Center Hotel
491,Veraval,IN,80.98,clear sky,20.9,70.3667,Lords Inn Somnath
494,Kutum,SD,74.05,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
500,Axim,GH,77.95,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
501,Moree,AU,71.62,overcast clouds,-29.4667,149.85,Molika Springs Motel
504,Nikki,BJ,75.38,overcast clouds,9.9401,3.2108,Hotel John
507,Kavaratti,IN,82.33,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
509,Kaseda,JP,79.84,light rain,31.4167,130.3167,Sun Stay Kaseda
510,Sao Luis,BR,82.6,clear sky,-2.5297,-44.3028,Solar das Pedras Hostel
511,Keti Bandar,PK,80.15,clear sky,24.1447,67.4497,Haji laloo memon house
513,Ugoofaaru,MV,83.08,scattered clouds,5.6667,73.0,Ungoofaaru Inn
514,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
516,Fare,PF,79.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
518,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
519,Pacific Grove,US,69.75,clear sky,36.6177,-121.9166,Lovers Point Inn
520,Santarem,BR,82.53,clear sky,-2.4431,-54.7083,Ecotur Lodge
521,Jalu,LY,69.22,clear sky,29.0331,21.5482,صاحبة الفخامة
522,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
525,Matamoros,MX,91.11,overcast clouds,25.5333,-103.25,Quinta Belem
526,Quang Ngai,VN,78.87,light rain,15.1167,108.8,Central Hotel
527,Marsa Matruh,EG,70.0,clear sky,31.3525,27.2453,Beau Site
528,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
529,Kieta,PG,84.65,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
531,Tanete,ID,85.64,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
534,Westport,US,65.25,clear sky,41.1415,-73.3579,The Westport Inn
535,Ambilobe,MG,72.28,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
538,Bandrele,YT,78.55,overcast clouds,-12.9067,45.1914,Les Baobabs
541,Cockburn Town,TC,82.22,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
548,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
551,Paranaiba,BR,76.87,clear sky,-19.6772,-51.1908,Villa Rica Park Hotel GMR
554,Roma,US,67.84,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
555,Yangjiang,CN,74.19,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
556,Lardos,GR,69.62,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
557,Presidente Medici,BR,79.81,moderate rain,-11.1753,-61.9014,Oliveira Palace Hotel
558,Naspur,IN,72.61,overcast clouds,18.8333,79.45,Hotel Vaibhav
561,Anakapalle,IN,78.75,overcast clouds,17.6833,83.0167,Satya Lodge
563,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
564,Bilma,NE,80.11,clear sky,18.6853,12.9164,Expeditions Ténére voyages
567,Pokhara,NP,66.9,clear sky,28.2333,83.9833,Butterfly Lodge
568,Shingu,JP,77.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
570,Mwandiga,TZ,74.17,few clouds,-4.83,29.6581,One Point
572,Hambantota,LK,75.54,overcast clouds,6.1241,81.1185,Bungalow 63
573,Zambezi,ZM,65.25,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
574,Gizo,SB,85.59,broken clouds,-8.103,156.8419,Imagination Island
577,Daru,PG,83.28,broken clouds,-9.0763,143.2092,Daru Lodge
578,Bhum,IN,71.47,overcast clouds,18.4667,75.6667,धनंजय होम
579,Baculin,PH,86.47,overcast clouds,7.4525,126.5842,Shovy's Cove
