City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Naryan-Mar,RU,67.6713,53.087,37.51,88,63,12.5,broken clouds
267,Shubarshi,KZ,48.5872,57.1869,41.81,54,0,8.32,clear sky
268,Tautira,PF,-17.7333,-149.15,84.22,74,48,15.99,scattered clouds
269,Saint-Joseph,RE,-21.3667,55.6167,71.98,89,55,5.91,broken clouds
270,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.45,54,100,1.61,overcast clouds
271,Liverpool,GB,53.4106,-2.9779,56.82,90,75,3.44,mist
272,Hearst,CA,49.6835,-83.6665,57.45,99,100,7.11,heavy intensity rain
273,Fortuna,US,40.5982,-124.1573,61.48,53,1,3.0,clear sky
274,Atar,MR,20.5169,-13.0499,84.83,19,15,4.85,few clouds
275,Dakoro,NE,14.5106,6.765,85.44,10,100,5.61,overcast clouds
276,Longyearbyen,SJ,78.2186,15.6401,28.24,93,75,11.5,light snow
277,Qaqortoq,GL,60.7167,-46.0333,37.58,71,89,3.6,overcast clouds
278,Buckeye,US,33.3703,-112.5838,70.16,19,0,6.91,clear sky
279,Corrales,US,35.2378,-106.6067,56.44,30,0,8.99,clear sky
280,Inuvik,CA,68.3499,-133.7218,27.61,83,75,11.5,broken clouds
281,Touho,NC,-20.7833,165.2333,76.59,77,45,8.75,scattered clouds
282,Madingou,CG,-4.1536,13.55,76.66,82,65,3.11,broken clouds
283,Turukhansk,RU,65.8167,87.9833,20.73,85,28,1.63,scattered clouds
284,Monrovia,LR,6.3005,-10.7969,77.79,86,100,3.11,overcast clouds
285,Bhasawar,IN,27.0333,77.0333,78.19,45,0,3.69,clear sky
286,Sakaiminato,JP,35.55,133.2333,69.73,100,75,17.27,broken clouds
287,Yaan,NG,7.3833,8.5667,76.24,87,31,4.56,scattered clouds
288,Jerome,US,42.7241,-114.5186,47.23,53,1,11.5,clear sky
289,San Patricio,US,28.017,-97.5169,84.61,82,6,17.34,clear sky
290,Terrace,CA,54.5163,-128.6035,46.31,76,40,23.02,shower rain
291,Sambava,MG,-14.2667,50.1667,72.16,87,100,8.41,light rain
292,Goya,AR,-29.14,-59.2626,71.64,53,7,9.37,clear sky
293,Padang,ID,-0.9492,100.3543,75.25,68,93,1.16,overcast clouds
294,Maniitsoq,GL,65.4167,-52.9,37.29,65,5,5.68,clear sky
295,Belmonte,BR,-15.8631,-38.8828,72.1,90,96,5.44,overcast clouds
296,Biak,ID,-0.9131,122.8766,83.17,68,98,3.6,overcast clouds
297,Sioux Lookout,CA,50.1001,-91.917,52.18,100,40,0.0,scattered clouds
298,Manokwari,ID,-0.8667,134.0833,84.76,68,25,3.56,scattered clouds
299,Nelson Bay,AU,-32.7167,152.15,67.1,73,100,3.0,overcast clouds
300,Samarai,PG,-10.6167,150.6667,82.53,76,97,8.99,overcast clouds
301,Sechura,PE,-5.5569,-80.8222,66.04,77,92,15.75,overcast clouds
302,Newcastle,AU,-32.9272,151.7765,66.81,68,75,10.36,broken clouds
303,Mackay,AU,-21.15,149.2,94.68,51,0,10.36,clear sky
304,Makat,KZ,47.6469,53.3463,46.54,57,54,13.27,broken clouds
305,Sarangani,PH,5.4033,125.4636,84.29,66,100,2.19,overcast clouds
306,Colac,AU,-38.3333,143.5833,61.63,68,99,11.9,overcast clouds
307,Kahului,US,20.8947,-156.47,83.46,80,40,25.32,scattered clouds
308,Nizwa,OM,22.9333,57.5333,78.04,33,0,2.39,clear sky
309,Bachaquero,VE,9.9694,-71.1494,81.9,80,94,5.5,overcast clouds
310,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.42,88,57,9.55,broken clouds
311,Yarada,IN,17.65,83.2667,79.12,94,75,4.61,mist
312,Tura,IN,25.5198,90.2201,76.28,85,83,2.84,broken clouds
313,Kruisfontein,ZA,-34.0033,24.7314,54.88,87,98,3.56,overcast clouds
314,Suntar,RU,62.1444,117.6319,25.12,59,24,9.28,few clouds
315,Victor Harbor,AU,-35.5667,138.6167,59.09,71,2,3.0,light rain
316,Faya,SA,18.3851,42.4509,60.91,19,94,4.59,overcast clouds
317,Mocuba,MZ,-16.8392,36.9856,64.38,86,0,1.21,clear sky
